#date,#from_account_id,#to_account_id,#amount,#transaction_id,#transaction_type
12/16/2024,0.0.902,,-0.00035399,0.0.902-1734368964-589317086,ETHEREUMTRANSACTION
12/16/2024,0.0.5171756,,-0.00906000,0.0.902-1734368964-589317086,ETHEREUMTRANSACTION
12/16/2024,,0.0.3,+0.00001264,0.0.902-1734368964-589317086,ETHEREUMTRANSACTION
12/16/2024,,0.0.98,+0.00933309,0.0.902-1734368964-589317086,ETHEREUMTRANSACTION
12/16/2024,,0.0.800,+0.00003413,0.0.902-1734368964-589317086,ETHEREUMTRANSACTION
12/16/2024,,0.0.801,+0.00003413,0.0.902-1734368964-589317086,ETHEREUMTRANSACTION
12/16/2024,0.0.902,,-0.00035399,0.0.902-1734368971-032774666,ETHEREUMTRANSACTION
12/16/2024,0.0.5171756,,-0.00906000,0.0.902-1734368971-032774666,ETHEREUMTRANSACTION
12/16/2024,,0.0.5,+0.00001264,0.0.902-1734368971-032774666,ETHEREUMTRANSACTION
12/16/2024,,0.0.98,+0.00933309,0.0.902-1734368971-032774666,ETHEREUMTRANSACTION
12/16/2024,,0.0.800,+0.00003413,0.0.902-1734368971-032774666,ETHEREUMTRANSACTION
12/16/2024,,0.0.801,+0.00003413,0.0.902-1734368971-032774666,ETHEREUMTRANSACTION
12/17/2024,0.0.902,,-0.00036926,0.0.902-1734456147-782414696,ETHEREUMTRANSACTION
12/17/2024,0.0.5171756,,-0.02380170,0.0.902-1734456147-782414696,ETHEREUMTRANSACTION
12/17/2024,,0.0.8,+0.00001341,0.0.902-1734456147-782414696,ETHEREUMTRANSACTION
12/17/2024,,0.0.98,+0.02408639,0.0.902-1734456147-782414696,ETHEREUMTRANSACTION
12/17/2024,,0.0.800,+0.00003558,0.0.902-1734456147-782414696,ETHEREUMTRANSACTION
12/17/2024,,0.0.801,+0.00003558,0.0.902-1734456147-782414696,ETHEREUMTRANSACTION
12/17/2024,0.0.902,,-0.00036337,0.0.902-1734456183-688782934,ETHEREUMTRANSACTION
12/17/2024,0.0.5171756,,-0.01474350,0.0.902-1734456183-688782934,ETHEREUMTRANSACTION
12/17/2024,,0.0.4,+0.00001306,0.0.902-1734456183-688782934,ETHEREUMTRANSACTION
12/17/2024,,0.0.98,+0.01502375,0.0.902-1734456183-688782934,ETHEREUMTRANSACTION
12/17/2024,,0.0.800,+0.00003503,0.0.902-1734456183-688782934,ETHEREUMTRANSACTION
12/17/2024,,0.0.801,+0.00003503,0.0.902-1734456183-688782934,ETHEREUMTRANSACTION
12/17/2024,0.0.902,,-0.00035177,0.0.902-1734461942-720952830,ETHEREUMTRANSACTION
12/17/2024,0.0.5171756,,-0.00906000,0.0.902-1734461942-720952830,ETHEREUMTRANSACTION
12/17/2024,,0.0.7,+0.00001256,0.0.902-1734461942-720952830,ETHEREUMTRANSACTION
12/17/2024,,0.0.98,+0.00933137,0.0.902-1734461942-720952830,ETHEREUMTRANSACTION
12/17/2024,,0.0.800,+0.00003392,0.0.902-1734461942-720952830,ETHEREUMTRANSACTION
12/17/2024,,0.0.801,+0.00003392,0.0.902-1734461942-720952830,ETHEREUMTRANSACTION
12/17/2024,0.0.902,,-0.00035177,0.0.902-1734461953-594785525,ETHEREUMTRANSACTION
12/17/2024,0.0.5171756,,-0.00906000,0.0.902-1734461953-594785525,ETHEREUMTRANSACTION
12/17/2024,,0.0.7,+0.00001256,0.0.902-1734461953-594785525,ETHEREUMTRANSACTION
12/17/2024,,0.0.98,+0.00933137,0.0.902-1734461953-594785525,ETHEREUMTRANSACTION
12/17/2024,,0.0.800,+0.00003392,0.0.902-1734461953-594785525,ETHEREUMTRANSACTION
12/17/2024,,0.0.801,+0.00003392,0.0.902-1734461953-594785525,ETHEREUMTRANSACTION
12/17/2024,0.0.902,,-0.00034613,0.0.902-1734462050-822190059,ETHEREUMTRANSACTION
12/17/2024,0.0.5171756,,-0.04255518,0.0.902-1734462050-822190059,ETHEREUMTRANSACTION
12/17/2024,,0.0.3,+0.00001253,0.0.902-1734462050-822190059,ETHEREUMTRANSACTION
12/17/2024,,0.0.98,+0.04282206,0.0.902-1734462050-822190059,ETHEREUMTRANSACTION
12/17/2024,,0.0.800,+0.00003336,0.0.902-1734462050-822190059,ETHEREUMTRANSACTION
12/17/2024,,0.0.801,+0.00003336,0.0.902-1734462050-822190059,ETHEREUMTRANSACTION
12/17/2024,0.0.902,,-0.00033877,0.0.902-1734462357-749212460,ETHEREUMTRANSACTION
12/17/2024,0.0.5171756,,-0.00875800,0.0.902-1734462357-749212460,ETHEREUMTRANSACTION
12/17/2024,,0.0.6,+0.00001210,0.0.902-1734462357-749212460,ETHEREUMTRANSACTION
12/17/2024,,0.0.98,+0.00901935,0.0.902-1734462357-749212460,ETHEREUMTRANSACTION
12/17/2024,,0.0.800,+0.00003266,0.0.902-1734462357-749212460,ETHEREUMTRANSACTION
12/17/2024,,0.0.801,+0.00003266,0.0.902-1734462357-749212460,ETHEREUMTRANSACTION
12/17/2024,0.0.902,,-0.00033877,0.0.902-1734462390-169099250,ETHEREUMTRANSACTION
12/17/2024,0.0.5171756,,-0.00957348,0.0.902-1734462390-169099250,ETHEREUMTRANSACTION
12/17/2024,,0.0.4,+0.00001210,0.0.902-1734462390-169099250,ETHEREUMTRANSACTION
12/17/2024,,0.0.98,+0.00983483,0.0.902-1734462390-169099250,ETHEREUMTRANSACTION
12/17/2024,,0.0.800,+0.00003266,0.0.902-1734462390-169099250,ETHEREUMTRANSACTION
12/17/2024,,0.0.801,+0.00003266,0.0.902-1734462390-169099250,ETHEREUMTRANSACTION
12/17/2024,0.0.902,,-0.00033877,0.0.902-1734462412-436356162,ETHEREUMTRANSACTION
12/17/2024,0.0.5171756,,-0.00876148,0.0.902-1734462412-436356162,ETHEREUMTRANSACTION
12/17/2024,,0.0.5,+0.00001210,0.0.902-1734462412-436356162,ETHEREUMTRANSACTION
12/17/2024,,0.0.98,+0.00902283,0.0.902-1734462412-436356162,ETHEREUMTRANSACTION
12/17/2024,,0.0.800,+0.00003266,0.0.902-1734462412-436356162,ETHEREUMTRANSACTION
12/17/2024,,0.0.801,+0.00003266,0.0.902-1734462412-436356162,ETHEREUMTRANSACTION
12/17/2024,0.0.902,,-0.00034058,0.0.902-1734462501-356273193,ETHEREUMTRANSACTION
12/17/2024,0.0.5171756,,-0.01595667,0.0.902-1734462501-356273193,ETHEREUMTRANSACTION
12/17/2024,,0.0.4,+0.00001220,0.0.902-1734462501-356273193,ETHEREUMTRANSACTION
12/17/2024,,0.0.98,+0.01621939,0.0.902-1734462501-356273193,ETHEREUMTRANSACTION
12/17/2024,,0.0.800,+0.00003283,0.0.902-1734462501-356273193,ETHEREUMTRANSACTION
12/17/2024,,0.0.801,+0.00003283,0.0.902-1734462501-356273193,ETHEREUMTRANSACTION
12/17/2024,0.0.902,,-0.00033877,0.0.902-1734462525-789654607,ETHEREUMTRANSACTION
12/17/2024,0.0.5171756,,-0.00968397,0.0.902-1734462525-789654607,ETHEREUMTRANSACTION
12/17/2024,,0.0.6,+0.00001210,0.0.902-1734462525-789654607,ETHEREUMTRANSACTION
12/17/2024,,0.0.98,+0.00994532,0.0.902-1734462525-789654607,ETHEREUMTRANSACTION
12/17/2024,,0.0.800,+0.00003266,0.0.902-1734462525-789654607,ETHEREUMTRANSACTION
12/17/2024,,0.0.801,+0.00003266,0.0.902-1734462525-789654607,ETHEREUMTRANSACTION
12/17/2024,0.0.902,,-0.00033877,0.0.902-1734462543-337318181,ETHEREUMTRANSACTION
12/17/2024,0.0.5171756,,-0.00753710,0.0.902-1734462543-337318181,ETHEREUMTRANSACTION
12/17/2024,,0.0.8,+0.00001210,0.0.902-1734462543-337318181,ETHEREUMTRANSACTION
12/17/2024,,0.0.98,+0.00779845,0.0.902-1734462543-337318181,ETHEREUMTRANSACTION
12/17/2024,,0.0.800,+0.00003266,0.0.902-1734462543-337318181,ETHEREUMTRANSACTION
12/17/2024,,0.0.801,+0.00003266,0.0.902-1734462543-337318181,ETHEREUMTRANSACTION
12/17/2024,0.0.902,,-0.00034058,0.0.902-1734462572-730416908,ETHEREUMTRANSACTION
12/17/2024,0.0.5171756,,-0.01596015,0.0.902-1734462572-730416908,ETHEREUMTRANSACTION
12/17/2024,,0.0.3,+0.00001220,0.0.902-1734462572-730416908,ETHEREUMTRANSACTION
12/17/2024,,0.0.98,+0.01622287,0.0.902-1734462572-730416908,ETHEREUMTRANSACTION
12/17/2024,,0.0.800,+0.00003283,0.0.902-1734462572-730416908,ETHEREUMTRANSACTION
12/17/2024,,0.0.801,+0.00003283,0.0.902-1734462572-730416908,ETHEREUMTRANSACTION
12/17/2024,0.0.902,,-0.00034058,0.0.902-1734462632-538809219,ETHEREUMTRANSACTION
12/17/2024,0.0.5171756,,-0.01596015,0.0.902-1734462632-538809219,ETHEREUMTRANSACTION
12/17/2024,,0.0.4,+0.00001220,0.0.902-1734462632-538809219,ETHEREUMTRANSACTION
12/17/2024,,0.0.98,+0.01622287,0.0.902-1734462632-538809219,ETHEREUMTRANSACTION
12/17/2024,,0.0.800,+0.00003283,0.0.902-1734462632-538809219,ETHEREUMTRANSACTION
12/17/2024,,0.0.801,+0.00003283,0.0.902-1734462632-538809219,ETHEREUMTRANSACTION
12/17/2024,0.0.902,,-0.00034064,0.0.902-1734462669-822949907,ETHEREUMTRANSACTION
12/17/2024,0.0.5171756,,-0.02129267,0.0.902-1734462669-822949907,ETHEREUMTRANSACTION
12/17/2024,,0.0.7,+0.00001221,0.0.902-1734462669-822949907,ETHEREUMTRANSACTION
12/17/2024,,0.0.98,+0.02155542,0.0.902-1734462669-822949907,ETHEREUMTRANSACTION
12/17/2024,,0.0.800,+0.00003284,0.0.902-1734462669-822949907,ETHEREUMTRANSACTION
12/17/2024,,0.0.801,+0.00003284,0.0.902-1734462669-822949907,ETHEREUMTRANSACTION
12/17/2024,0.0.902,,-0.00033877,0.0.902-1734462709-672283872,ETHEREUMTRANSACTION
12/17/2024,0.0.5171756,,-0.00716068,0.0.902-1734462709-672283872,ETHEREUMTRANSACTION
12/17/2024,,0.0.6,+0.00001210,0.0.902-1734462709-672283872,ETHEREUMTRANSACTION
12/17/2024,,0.0.98,+0.00742203,0.0.902-1734462709-672283872,ETHEREUMTRANSACTION
12/17/2024,,0.0.800,+0.00003266,0.0.902-1734462709-672283872,ETHEREUMTRANSACTION
12/17/2024,,0.0.801,+0.00003266,0.0.902-1734462709-672283872,ETHEREUMTRANSACTION
